id,english,tamil,example_en,example_ta
1,water,தண்ணீர்,Please give me a glass of water.,தயவுசெய்து எனக்கு ஒரு கிளாஸ் தண்ணீர் கொடுங்கள்.
2,food,உணவு,The food was very tasty.,உணவு மிகவும் சுவையாக இருந்தது.
3,book,புத்தகம்,I am reading a new book.,நான் ஒரு புதிய புத்தகத்தை படிக்கிறேன்.
4,friend,நண்பன்,He is my best friend.,அவன் என் சிறந்த நண்பன்.
5,happy,மகிழ்ச்சி,I am happy today.,இன்று நான் மகிழ்ச்சியாக இருக்கிறேன்.
6,family,குடும்பம்,My family is very supportive.,என் குடும்பம் மிகவும் ஆதரவாக இருக்கிறது.
7,school,பள்ளி,My son goes to school every day.,என் மகன் தினமும் பள்ளிக்கு செல்கிறான்.
8,teacher,ஆசிரியர்,The teacher explained the lesson clearly.,ஆசிரியர் பாடத்தை தெளிவாக விளக்கினார்.
9,student,மாணவர்,She is a hardworking student.,அவள் ஒரு உழைப்பாளி மாணவர்.
10,time,நேரம்,We don't have much time.,நமக்கு அதிக நேரம் இல்லை.
11,money,பணம்,I need to save more money.,நான் அதிக பணத்தை சேமிக்க வேண்டும்.
12,work,வேலை,I have a lot of work today.,இன்று எனக்கு நிறைய வேலை இருக்கிறது.
13,help,உதவி,Can you help me with this?,இதற்கு நீங்கள் எனக்கு உதவ முடியுமா?
14,love,அன்பு,She has a lot of love for her family.,அவளுக்கு தன் குடும்பத்தின் மேல் அதிக அன்பு உண்டு.
15,beautiful,அழகான,This is a beautiful place.,இது ஒரு அழகான இடம்.
16,important,முக்கியமான,This meeting is very important.,இந்த கூட்டம் மிகவும் முக்கியமானது.
17,difficult,கடினமான,English grammar can be difficult.,ஆங்கில இலக்கணம் கடினமாக இருக்கலாம்.
18,easy,எளிதான,This exercise is easy.,இந்த பயிற்சி எளிதானது.
19,morning,காலை,I wake up early in the morning.,நான் காலையில் சீக்கிரம் எழுகிறேன்.
20,night,இரவு,I sleep at ten at night.,நான் இரவு பத்து மணிக்கு தூங்குகிறேன்.
21,today,இன்று,What are your plans for today?,இன்றைக்கு உங்கள் திட்டங்கள் என்ன?
22,tomorrow,நாளை,I will see you tomorrow.,நான் நாளை உன்னை பார்க்கிறேன்.
23,yesterday,நேற்று,It rained a lot yesterday.,நேற்று நிறைய மழை பெய்தது.
24,question,கேள்வி,I have a question for you.,எனக்கு உங்களிடம் ஒரு கேள்வி இருக்கிறது.
25,answer,பதில்,Please write the correct answer.,தயவுசெய்து சரியான பதிலை எழுதுங்கள்.
26,listen,கேளுங்கள்,Please listen carefully.,தயவுசெய்து கவனமாக கேளுங்கள்.
27,speak,பேசு,Can you speak more slowly?,நீங்கள் இன்னும் மெதுவாக பேச முடியுமா?
28,write,எழுது,Please write your name here.,தயவுசெய்து உங்கள் பெயரை இங்கே எழுதுங்கள்.
29,read,படி,I like to read before sleeping.,தூங்குவதற்கு முன் படிக்க எனக்கு பிடிக்கும்.
30,understand,புரிந்துகொள்,Do you understand this lesson?,இந்த பாடம் உங்களுக்கு புரிகிறதா?
